Date,writer,post_date,text,comment_num,retweet_num,like_num,Code
3/28/2014,MattSoleyn,1437683817,EPS $0.19 for #Amazon was a big beat. Expectations were for a LOSS of $0.14/share. #finance $AMZN,0,0,0,AMZN
3/27/2014,GusFuentes_,1437689098,Amazon shares soaring more than 13% after reporting EPS gain of $0.19 vs. estimate of $0.14 loss. • http://cnb.cx/1HMh6Hf$AMZN #earnings,0,0,0,AMZN
3/26/2014,PlaceTrade,1445544442,Amazon blows it out of the water on earning with a$0.17 per share vs an expected loss of $0.13! Beat on top and bottom line. $AMZN,0,0,0,AMZN
3/25/2014,JeffMacke,1445549791,"Amazon grows AWS 78%, guides earnings to ~$0 and $1.2b. No buyback mentioned... $AMZN",1,1,2,AMZN
3/24/2014,AmericanBanking,1429822466,http://Amazon.com announces earnings. ($0.12) EPS. Meets estimates. $22.72b revenue. http://ift.tt/1yUbvO1 $AMZN #AMZN,0,0,0,AMZN
3/21/2014,Benzinga,1437682209,"Amazon Reports Q2 EPS $0.19 vs. Est. $(0.14), Rev. $23.18B vs. Est. $22.39B; EPS Est. May Not Compare $AMZN",0,8,2,AMZN
3/20/2014,AmericanBanking,1437685789,http://Amazon.com announces earnings. $0.19 EPS. Beats estimates. $23.18b revenue. http://ift.tt/1eklDG8 $AMZN #AMZN,0,0,0,AMZN
3/19/2014,Stocktwits,1422558814,Coming up! Two charts you have to see before Amazon reports earnings. Wall Street expects EPS of $0.17and revenue of $29.7B. $AMZN,2,3,0,AMZN
3/18/2014,AmericanBanking,1422568792,http://Amazon.com announces earnings. $0.45 EPS. Beats estimates. $29.33b revenue. http://ift.tt/1uGxpNi $AMZN #AMZN,0,0,0,AMZN
3/17/2014,financialskepti,1422734321,http://Amazon.com announces earnings. $0.45 EPS. Beats estimates. $29.33b revenue. http://analystratings.net/s/63425 $AMZN #AMZN  @RatingsNetwork,0,1,0,AMZN
3/14/2014,bsnel,1422634172,Analysts were expecting $0.17 per share and $AMZN delivered $0.45? Did amzn over deliver or analyst under expect?!,0,0,0,AMZN
3/13/2014,JeffMacke,1441116413,Game Plan: 3-stocks I want and one I wouldn't buy at $0. $AMZN $GOOGL $FB $BABA,6,9,12,AMZN
3/12/2014,MarketCurrents,1422565391,"Amazon beats by $0.28, misses on revenue http://seekingalpha.com/news/2257026-amazon-beats-by-0_28-misses-on-revenue?source=feed_f… $AMZN",0,0,0,AMZN
3/11/2014,TickrWatch,1422565893,http://Amazon.com Overwhelms with EPS of $0.45 and Rockets Upward $AMZN http://goo.gl/fb/RRFdJv,0,0,1,AMZN
3/10/2014,TiernanRayTech,1422566228,http://Amazon.com Jumps 5%: Q4 EPS $0.45/Sh Blows Away Consensus - Tech Trader Daily - Barron's $AMZN http://on.barrons.com/1z9L2KA,0,1,0,AMZN
3/7/2014,PrivateCapBlog,1422567148,"Amazon beats by $0.28, misses on revenue $AMZN http://seekingalpha.com/currents/post/2257026?source=iphoneetfapp_twitter…",0,0,0,AMZN
3/6/2014,SwingTradeAlert,1422567212,BARRONS:http://Amazon.com Jumps 5%: Q4 EPS $0.45/Sh Blows Away Consensus - Tech Trader Daily - Barron's $AMZN,0,0,0,AMZN
3/5/2014,ThinkFinance999,1422567945,Seems that by Q2 analysts will already have 2015 EPS below $0 ... $AMZN,0,0,0,AMZN
3/4/2014,ZacksResearch,1422568911,Amazon crushed earnings expectations this evening with $0.45 a share! Read our quick recap! $AMZN http://stks.co/a1a8f,0,1,0,AMZN
3/3/2014,ZacksResearch,1422627545,Amazon posted an earnings surprise last night at $0.45 per share. $AMZN http://stks.co/t1NaT,0,1,0,AMZN
2/28/2014,ZacksResearch,1429887362,Amazon reported earnings last night at -$0.12 per share. Do you think their investments will pay off? $AMZN http://stks.co/j2Bew,0,1,0,AMZN
2/27/2014,ZacksResearch,1437684184,Amazon reported earnings this evening at $0.19 per share. $AMZN http://stks.co/h2pqo,0,0,0,AMZN
2/26/2014,TickerReport,1442586465,http://Amazon.com Expected to Post Earnings of -$0.12 Per Share $AMZN http://ift.tt/1UZTKln,0,0,0,AMZN
2/25/2014,dakotafinancial,1442840077,Analysts Anticipate http://Amazon.com to Announce -$0.12 EPS $AMZN http://ift.tt/1iIvbhk,0,0,0,AMZN
2/24/2014,AmericanBanking,1445545784,http://Amazon.com announces earnings. $0.17 EPS. Beats estimates. http://ift.tt/1OLcKWr $AMZN #AMZN,0,0,0,AMZN
2/21/2014,ZacksResearch,1445547030,.@amazon beat earnings expectations after the bell today at $0.17 per share. $AMZN http://zacks.com/stock/news/194652/amazon-amzn-beats-on-earnings-and-revenue-for-q3…,0,0,0,AMZN
2/20/2014,ZacksResearch,1445613807,Amazon reported earnings last night at $0.17 per share. $AMZN http://stks.co/q32jL,0,1,0,AMZN
2/19/2014,HarvardWinters,1446069502,That's $0.079b for $AMZN. https://twitter.com/ezraklein/status/659450283261607940…,0,0,0,AMZN
2/18/2014,TylerAuggieD,1454015325,"#Amazon downn in after-hours on earnings, missed EPS by $0.56 consensus. $AMZN http://finance.yahoo.com/news/amazon-com-announces-fourth-quarter-210100271.html…",0,0,0,AMZN
2/14/2014,dakotafinancial,1454512021,"http://Amazon.com, Inc. Expected to Post Q1 2016 Earnings of $0.66 Per Share $AMZN http://ift.tt/1S0jn97",0,0,0,AMZN
2/13/2014,retail_Dbt,1461451989,"#Amazon.com, Inc. Forecasted to Earn Q2 2017 Earnings of $0.50 Per Share. Read more: http://owler.us/abdMdX $AMZN",0,0,0,AMZN
2/12/2014,CNBC,1461873783,EARNINGS: Amazon Q1 EPS $1.07 vs. $0.58 Est.; Q1 Revs. $29.13B vs. $27.98B Est. • $AMZN soaring 12%,1,29,25,AMZN
2/11/2014,CNBCnow,1461873783,EARNINGS: Amazon Q1 EPS $1.07 vs. $0.58 Est.; Q1 Revs. $29.13B vs. $27.98B Est. • $AMZN soaring 12% http://cnb.cx/1NXJUxI,1,74,28,AMZN
2/10/2014,fxzoneofficial,1461873808,EARNINGS: Amazon Q1 EPS $1.07 vs. $0.58 Est.; Q1 Revs. $29.13B vs. $27.98B Est. • $AMZN soaring 12% #Forex,0,0,0,AMZN
